NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Torrance County, New Mexico",15203,43.0,21.3,21.5,63.8,9.0,23.1,10.8,50727,8.5,22.6,16.8,5.0,731,35,057
"Union County, New Mexico",4074,39.4,21.4,22.0,53.3,9.7,23.3,5.8,41714,11.6,30.0,34.9,7.9,587,35,059
"Valencia County, New Mexico",76613,38.8,23.0,18.4,47.7,11.3,21.4,7.5,56246,7.7,12.8,17.3,2.7,873,35,061
"Albany County, New York",315041,38.1,18.1,17.5,31.7,22.5,11.8,5.2,78829,3.0,9.6,43.5,12.5,1196,36,001
"Allegany County, New York",47222,38.9,19.6,19.3,39.2,12.8,16.4,7.3,58725,5.3,28.9,19.2,7.3,735,36,003
"Bronx County, New York",1443229,35.0,24.7,13.3,51.5,13.5,15.8,11.2,47036,7.6,4.1,80.0,60.2,1401,36,005
"Broome County, New York",198365,39.7,19.1,19.7,45.0,15.8,15.9,6.9,58317,3.8,12.2,35.2,12.5,882,36,007
"Cattaraugus County, New York",77000,42.5,21.9,19.9,35.8,10.9,16.3,5.4,56889,6.6,21.8,26.3,10.4,745,36,009
"Cayuga County, New York",76171,43.4,19.4,20.0,54.6,13.2,14.6,4.3,63227,4.1,15.8,30.0,10.0,868,36,011
"Chautauqua County, New York",127440,42.8,20.3,20.8,44.3,13.5,17.6,5.4,54625,5.5,19.5,30.9,11.8,759,36,013
"Chemung County, New York",83584,41.7,21.0,19.6,40.2,13.5,16.1,6.3,61358,4.3,10.9,31.6,10.2,991,36,015
"Chenango County, New York",47096,44.9,20.5,21.3,32.3,9.8,18.7,7.1,61741,3.6,18.4,23.7,8.4,798,36,017
"Clinton County, New York",79839,40.9,17.9,17.8,38.0,15.4,17.3,4.7,67097,3.3,12.5,31.0,9.5,944,36,019
"Columbia County, New York",61469,49.3,16.4,24.8,22.8,19.0,14.4,5.9,81741,3.9,24.0,25.4,6.2,1114,36,021
"Cortland County, New York",46755,36.3,18.9,16.5,31.9,15.0,13.3,5.4,65029,3.7,11.0,34.0,9.0,884,36,023
"Delaware County, New York",44637,48.9,16.2,25.2,31.8,13.3,18.5,6.1,58338,4.5,37.6,22.8,7.4,785,36,025
"Dutchess County, New York",296467,42.9,18.6,18.4,24.2,20.6,12.9,5.0,94578,4.3,6.7,31.2,7.2,1425,36,027
"Erie County, New York",951232,40.1,20.1,18.5,31.9,20.2,13.7,5.0,68014,2.9,7.3,34.8,12.1,984,36,029
"Essex County, New York",37314,49.2,15.9,24.8,24.4,17.6,16.7,5.1,68090,4.1,37.7,23.0,9.4,875,36,031
"Franklin County, New York",47459,41.9,20.3,18.4,46.2,12.3,17.4,5.1,60270,6.0,25.3,29.1,11.0,788,36,033
"Fulton County, New York",53280,44.2,20.0,20.2,39.9,11.5,17.1,4.3,60557,3.6,21.5,30.9,10.0,855,36,035
"Genesee County, New York",58204,42.7,20.3,19.5,24.3,13.5,15.4,4.7,68178,3.1,6.2,26.6,9.8,866,36,037
"Greene County, New York",48067,47.0,16.2,23.2,27.3,16.2,13.8,2.8,70294,3.5,38.3,24.1,8.6,1013,36,039
"Hamilton County, New York",5090,56.4,13.1,32.0,44.3,13.3,17.8,4.9,66891,4.7,78.2,15.1,2.4,902,36,041
"Herkimer County, New York",60293,44.3,20.5,21.3,23.9,13.3,15.4,4.2,68104,4.7,24.0,24.0,10.1,776,36,043
"Jefferson County, New York",117445,32.8,23.8,14.2,11.4,15.0,14.6,6.4,62782,5.4,25.1,45.5,8.5,1143,36,045
"Kings County, New York",2679620,35.9,22.6,14.5,26.2,24.1,10.3,7.3,74692,6.3,7.6,69.7,55.3,1715,36,047
"Lewis County, New York",26690,42.0,22.9,19.6,9.4,10.8,15.0,5.2,64401,4.3,31.2,19.2,5.6,768,36,049
"Livingston County, New York",61980,41.7,17.8,18.9,42.1,15.4,13.5,4.7,70443,3.4,11.3,23.0,6.0,919,36,051
"Madison County, New York",68020,42.5,18.7,19.1,31.1,14.3,13.0,4.1,68869,3.3,17.8,22.3,6.1,867,36,053
"Monroe County, New York",756406,39.3,20.5,17.9,37.6,22.2,14.2,5.3,71450,3.2,6.4,36.3,10.9,1085,36,055
"Montgomery County, New York",49624,40.6,22.9,18.8,28.5,11.1,16.5,5.9,58033,5.6,17.5,31.3,12.8,867,36,057
"Nassau County, New York",1389160,41.7,21.4,18.0,17.6,26.3,8.8,4.6,137709,4.0,4.7,18.2,6.6,2131,36,059
"New York County, New York",1645867,38.5,14.3,17.3,19.2,32.4,11.1,6.8,99880,4.6,15.4,75.7,77.9,2024,36,061
"Niagara County, New York",212230,43.1,19.8,19.7,41.2,15.9,15.3,5.8,65882,2.3,9.2,29.1,10.7,823,36,063
"Oneida County, New York",231055,40.9,21.3,19.2,37.7,15.5,14.6,4.4,66402,3.4,11.5,32.0,10.6,889,36,065
"Onondaga County, New York",472637,39.4,21.0,17.8,30.8,20.2,13.9,5.6,71479,3.5,8.8,34.7,12.2,1002,36,067
"Ontario County, New York",112288,43.8,19.5,21.0,32.1,19.9,14.5,4.0,76603,3.3,10.6,27.5,6.5,1061,36,069
"Orange County, New York",401237,36.8,25.4,14.1,20.9,18.2,11.6,5.3,91806,4.9,8.2,32.0,8.6,1494,36,071
"Orleans County, New York",40148,43.2,19.2,18.3,27.0,11.7,15.5,6.1,61069,5.4,11.2,23.8,7.6,840,36,073
"Oswego County, New York",118037,40.3,20.7,17.1,45.8,12.7,15.0,7.3,65054,4.2,13.5,26.5,8.5,899,36,075
"Otsego County, New York",59678,40.8,15.3,21.2,43.9,18.0,14.1,5.0,65778,5.1,25.6,25.9,7.0,927,36,077
"Putnam County, New York",97942,44.1,19.5,18.3,21.6,24.2,10.2,4.4,120970,3.5,8.9,16.1,4.1,1691,36,079
"Queens County, New York",2360826,39.9,19.9,16.5,26.0,21.4,9.9,7.0,82431,8.7,8.9,54.8,36.7,1847,36,081
"Rensselaer County, New York",160943,40.0,19.0,17.6,39.0,20.6,14.5,5.6,83734,3.1,10.9,37.2,10.3,1141,36,083
"Richmond County, New York",492925,40.3,21.7,16.6,28.5,21.1,10.3,5.4,96185,3.9,7.4,31.4,15.2,1602,36,085
"Rockland County, New York",337326,35.3,28.8,15.6,13.6,23.5,9.0,6.2,106173,4.1,5.2,31.7,9.9,1755,36,087
"St. Lawrence County, New York",108670,38.8,20.0,18.0,32.9,12.0,17.2,6.3,58339,6.0,20.0,28.7,10.4,788,36,089
"Saratoga County, New York",236328,43.3,19.4,18.9,17.4,24.1,11.3,3.5,97038,2.8,10.6,27.9,4.8,1305,36,091
"Schenectady County, New York",159447,39.7,21.4,17.5,26.1,18.9,12.7,6.0,75056,3.9,9.7,36.1,12.2,1092,36,093
"Schoharie County, New York",29970,45.7,17.4,23.0,14.5,13.5,16.8,5.3,71479,4.2,25.6,22.6,6.3,883,36,095
"Schuyler County, New York",17855,47.3,18.8,22.1,25.3,12.6,15.3,5.7,61316,4.4,23.0,23.1,5.9,808,36,097
"Seneca County, New York",33651,43.0,20.0,20.2,19.4,13.5,17.1,4.5,64050,8.6,15.5,27.5,8.7,871,36,099
"Steuben County, New York",93584,42.8,21.4,20.0,24.7,12.9,15.0,6.3,62506,5.0,17.6,27.3,9.4,832,36,101
"Suffolk County, New York",1524486,41.7,20.8,17.3,27.0,21.1,9.9,4.8,122498,4.4,11.8,18.2,5.2,2113,36,103
"Sullivan County, New York",78725,41.9,21.0,18.9,30.4,16.2,15.9,7.2,67841,5.6,39.5,30.9,9.9,996,36,105
"Tioga County, New York",48344,44.7,20.4,20.9,24.3,15.6,14.7,5.6,70427,3.4,7.3,22.1,6.5,894,36,107
"Tompkins County, New York",102555,32.6,14.5,15.7,19.5,24.6,11.3,4.7,69995,3.3,8.0,45.7,13.3,1320,36,109
"Ulster County, New York",182153,44.2,17.3,20.5,25.2,19.5,14.5,5.1,77197,6.2,15.9,30.8,7.2,1269,36,111
"Warren County, New York",65684,46.7,17.7,23.0,42.0,17.8,15.8,4.2,74531,3.8,25.6,29.4,8.5,1062,36,113
"Washington County, New York",61310,44.6,18.4,20.4,25.0,12.5,15.3,5.1,68703,5.5,16.6,26.1,8.8,964,36,115
"Wayne County, New York",91324,43.6,21.1,19.7,27.7,15.4,14.5,4.3,71007,5.8,10.7,20.2,7.3,877,36,117
"Westchester County, New York",997904,41.3,21.5,17.5,19.9,25.6,10.1,6.0,114651,4.9,5.5,37.7,14.2,1796,36,119
"Wyoming County, New York",40338,42.9,19.8,19.1,12.1,11.0,13.3,4.1,65066,4.3,10.9,22.9,7.7,787,36,121
"Yates County, New York",24713,41.7,22.0,21.5,16.8,14.2,11.6,3.2,63974,17.6,32.3,22.7,13.0,773,36,123
"Alamance County, North Carolina",171779,39.1,22.0,16.9,44.6,19.0,12.8,5.0,60866,9.7,9.0,34.0,5.0,959,37,001
"Alexander County, North Carolina",36505,43.9,19.7,20.4,9.7,11.0,17.1,5.6,62764,9.1,14.2,18.8,2.8,735,37,003
"Alleghany County, North Carolina",10989,50.6,16.3,28.0,0.0,13.4,17.4,5.3,42115,13.4,36.1,19.5,5.6,708,37,005
"Anson County, North Carolina",22200,41.1,20.0,19.5,48.5,8.7,20.6,6.4,42000,13.0,17.0,32.6,7.1,818,37,007
"Ashe County, North Carolina",26759,49.6,16.9,26.6,29.8,12.6,17.9,5.1,49176,11.0,30.6,20.2,4.2,730,37,009
"Avery County, North Carolina",17679,46.5,13.9,22.7,8.8,13.6,19.0,5.0,53513,14.6,53.4,21.4,4.5,811,37,011
"Beaufort County, North Carolina",44711,46.9,19.6,24.4,63.9,12.2,17.1,5.6,56081,11.3,21.9,29.2,5.8,835,37,013
"Bertie County, North Carolina",17818,45.9,17.1,23.9,53.6,10.9,23.5,6.4,41652,11.9,22.5,25.1,11.3,823,37,015
"Bladen County, North Carolina",29807,45.0,20.3,22.8,83.1,14.0,14.8,5.5,40476,10.0,25.8,30.3,7.9,731,37,017
"Brunswick County, North Carolina",139721,55.7,14.5,32.7,42.5,20.4,14.9,5.0,71193,8.8,32.7,16.3,2.4,1187,37,019
"Buncombe County, North Carolina",269449,42.3,18.0,20.6,35.5,25.6,13.6,3.6,66531,11.3,20.9,35.6,5.4,1209,37,021
"Burke County, North Carolina",87799,45.1,18.2,21.0,42.1,12.4,20.4,6.0,53732,10.8,11.5,23.9,4.6,768,37,023
"Cabarrus County, North Carolina",226396,37.6,25.2,13.3,21.9,24.0,10.7,4.9,83828,8.0,12.7,27.0,3.7,1185,37,025
"Caldwell County, North Carolina",80716,45.1,19.9,20.7,45.2,12.3,18.8,5.8,52362,11.3,13.5,25.4,4.8,717,37,027
"Camden County, North Carolina",10547,41.1,23.8,15.8,34.3,16.4,15.5,5.7,79120,3.7,7.2,15.9,1.3,1151,37,029
"Carteret County, North Carolina",68353,49.9,17.1,25.8,29.7,19.8,17.4,4.9,66965,10.1,40.5,27.1,3.9,1009,37,031
"Caswell County, North Carolina",22747,46.4,18.1,22.0,42.3,9.9,19.9,6.0,56999,9.9,18.9,24.5,4.7,678,37,033
"Catawba County, North Carolina",161011,41.5,21.8,18.3,32.4,17.3,14.0,5.1,62070,11.8,9.3,29.0,4.9,866,37,035
"Chatham County, North Carolina",76754,47.6,19.5,24.8,28.3,24.7,12.9,2.8,84222,8.8,8.9,20.2,3.1,995,37,037
"Cherokee County, North Carolina",28868,52.9,16.1,30.7,48.4,15.7,18.1,4.9,49254,16.2,29.1,18.7,4.3,819,37,039
"Chowan County, North Carolina",13835,48.7,19.6,25.6,78.5,15.1,16.5,4.3,51188,6.6,13.2,35.6,10.2,814,37,041
"Clay County, North Carolina",11186,54.1,16.5,31.9,4.2,17.6,16.3,4.0,57065,15.3,33.2,20.3,7.3,793,37,043
"Cleveland County, North Carolina",99527,41.4,22.1,18.7,65.0,12.3,16.2,6.4,50723,11.2,16.5,30.3,6.5,794,37,045
"Columbus County, North Carolina",50827,41.8,20.6,20.1,44.3,9.7,17.5,5.8,43206,14.2,18.8,29.2,6.2,738,37,047
"Craven County, North Carolina",101098,38.5,21.7,19.8,27.5,15.1,15.4,5.1,61676,9.2,12.9,32.1,5.9,1056,37,049
"Cumberland County, North Carolina",335207,31.7,24.9,12.5,32.5,17.4,16.7,7.9,55551,10.8,11.2,47.4,6.9,1098,37,051
"Currituck County, North Carolina",28616,42.5,22.2,16.7,29.8,18.6,11.7,3.2,82793,11.2,31.5,12.5,1.7,1217,37,053
"Dare County, North Carolina",37160,48.1,18.4,23.0,24.4,28.0,10.6,5.1,79742,11.6,53.4,22.2,1.8,1259,37,055
"Davidson County, North Carolina",169498,42.6,21.7,18.5,46.3,14.4,15.3,4.3,58473,10.9,9.7,27.4,4.2,822,37,057
"Davie County, North Carolina",43030,45.2,20.9,21.4,26.9,17.4,18.1,4.6,69105,10.2,12.6,17.7,5.0,838,37,059
"Duplin County, North Carolina",49312,40.6,23.7,19.1,48.2,11.4,17.2,5.4,49376,14.8,15.0,30.6,5.2,765,37,061
"Durham County, North Carolina",325101,35.8,20.0,13.8,27.4,27.1,9.7,4.3,74927,11.4,6.9,44.6,7.0,1301,37,063
"Edgecombe County, North Carolina",49067,41.6,22.7,20.1,71.0,13.0,16.0,8.6,46370,11.6,16.7,38.1,10.4,779,37,065
"Forsyth County, North Carolina",383739,38.4,22.7,16.4,40.4,21.4,12.3,5.6,61229,10.5,10.5,38.1,6.6,969,37,067
"Franklin County, North Carolina",69680,41.0,21.7,16.9,40.1,16.2,16.8,5.9,70493,9.8,11.1,22.8,3.2,971,37,069
"Gaston County, North Carolina",228972,39.9,22.3,16.4,41.5,17.6,14.7,4.9,62628,10.2,8.3,33.0,5.4,1005,37,071
"Gates County, North Carolina",10509,47.3,19.6,21.2,0.0,5.3,19.1,9.3,55750,7.4,14.0,20.3,3.4,921,37,073
"Graham County, North Carolina",8047,45.3,20.3,23.6,34.2,10.1,19.6,7.7,46010,17.7,39.7,20.1,6.4,580,37,075
"Granville County, North Carolina",61161,42.5,20.2,17.1,63.4,16.2,16.4,4.7,68079,10.6,11.7,23.5,4.1,937,37,077
"Greene County, North Carolina",20407,40.0,19.1,16.5,40.1,8.1,20.5,5.5,50320,16.9,13.9,32.9,5.5,826,37,079
"Guilford County, North Carolina",539557,37.2,21.9,15.5,48.4,23.9,11.9,5.2,62880,9.2,8.8,40.5,6.3,1049,37,081
"Halifax County, North Carolina",48772,43.6,21.3,21.2,71.8,10.0,20.1,9.3,41629,10.3,18.9,36.5,9.2,760,37,083
"Harnett County, North Carolina",134718,35.2,25.5,13.2,27.1,15.1,15.5,5.3,64992,10.8,10.1,31.6,4.3,1022,37,085
"Haywood County, North Carolina",62152,47.7,17.9,25.1,25.8,17.6,17.2,3.5,56596,11.2,24.5,25.2,4.3,954,37,087
"Henderson County, North Carolina",116469,47.7,18.6,26.1,16.2,21.2,14.8,3.5,65508,12.3,12.8,25.6,3.7,1032,37,089
"Hertford County, North Carolina",21633,41.7,17.9,20.4,63.7,9.4,20.9,7.2,46196,10.8,15.3,34.6,9.0,846,37,091
"Hoke County, North Carolina",52612,33.5,27.1,11.0,29.2,13.7,18.1,6.4,57141,11.0,9.1,30.1,5.2,1036,37,093
"Hyde County, North Carolina",4636,46.8,19.7,23.4,-666666666.0,11.5,18.8,8.7,43724,13.8,31.9,29.2,2.2,917,37,095
"Iredell County, North Carolina",187839,40.8,22.5,16.3,21.9,22.5,11.8,4.6,73103,9.3,9.5,28.3,3.3,1105,37,097
"Jackson County, North Carolina",42388,39.2,16.6,20.4,28.0,17.3,13.2,5.9,51482,15.1,34.2,37.9,4.8,804,37,099
"Johnston County, North Carolina",219042,38.4,24.9,13.6,32.4,19.1,12.8,3.7,75288,11.2,6.9,23.4,4.1,970,37,101
"Jones County, North Carolina",9263,47.9,18.5,23.2,53.2,11.8,20.5,4.8,53053,12.5,18.3,24.0,7.8,680,37,103
"Lee County, North Carolina",63560,39.6,23.8,16.8,56.1,14.7,17.4,5.2,60941,13.7,9.5,34.7,4.0,923,37,105
"Lenoir County, North Carolina",55071,42.7,22.4,20.9,72.0,10.4,23.4,7.1,43063,10.8,15.1,41.2,8.6,792,37,107
"Lincoln County, North Carolina",87933,44.3,20.8,18.6,25.7,18.6,15.2,4.4,75672,8.5,7.4,21.4,3.4,928,37,109
"McDowell County, North Carolina",44629,44.3,19.6,20.6,36.5,12.4,19.1,5.5,53532,12.6,14.7,26.6,6.4,725,37,111
"Macon County, North Carolina",37088,50.6,17.8,28.8,18.6,16.0,16.9,3.5,51042,15.5,35.4,26.2,6.4,818,37,113
"Madison County, North Carolina",21414,44.6,17.6,22.9,19.6,21.1,18.5,1.7,56664,9.0,23.8,23.2,4.5,760,37,115
"Martin County, North Carolina",21992,46.7,20.3,24.3,59.4,11.2,20.9,9.6,44799,8.2,16.0,33.4,9.3,758,37,117
"Mecklenburg County, North Carolina",1115403,35.4,23.0,11.6,29.4,31.0,8.1,4.5,79265,11.5,7.2,44.1,5.6,1413,37,119
"Mitchell County, North Carolina",14989,47.4,18.2,25.1,7.5,13.8,18.6,6.3,55534,10.6,25.2,20.5,8.4,701,37,121
"Montgomery County, North Carolina",25839,43.7,21.2,21.2,26.4,13.2,18.0,3.1,55523,13.9,36.3,28.3,4.4,710,37,123
"Moore County, North Carolina",100759,43.0,21.5,24.1,11.7,23.6,14.3,4.6,77981,8.3,14.0,22.9,4.2,1084,37,125
"Nash County, North Carolina",95015,41.7,21.9,18.8,20.5,15.3,15.1,6.4,56770,11.6,12.8,35.1,6.9,879,37,127
"New Hanover County, North Carolina",228134,40.2,18.0,18.5,27.7,28.3,12.0,4.8,67515,10.5,12.8,40.5,6.3,1249,37,129
"Northampton County, North Carolina",17528,51.3,17.6,27.6,15.8,10.8,19.0,7.6,45698,11.2,29.9,28.2,8.1,764,37,131
"Onslow County, North Carolina",203686,26.9,24.3,9.6,15.2,17.6,16.3,6.4,59976,10.3,16.0,41.1,3.8,1132,37,133
"Orange County, North Carolina",145919,36.2,19.2,15.4,14.3,27.6,8.3,3.9,85785,6.3,9.3,35.3,4.7,1316,37,135
"Pamlico County, North Carolina",12317,54.2,14.5,30.3,20.3,12.4,20.9,4.6,55867,9.3,28.8,18.4,4.8,830,37,137
"Pasquotank County, North Carolina",40454,39.0,21.6,17.6,41.7,17.2,15.1,5.8,61411,10.7,11.6,35.8,6.2,1039,37,139
"Pender County, North Carolina",61592,42.6,22.1,18.0,47.4,19.2,16.0,6.4,74538,9.3,23.2,17.7,3.1,1039,37,141
"Perquimans County, North Carolina",13053,49.8,18.6,28.1,0.0,10.9,20.9,5.0,59401,10.7,19.4,23.4,4.0,1033,37,143
"Person County, North Carolina",39131,43.7,20.6,20.3,31.3,12.7,20.2,3.7,60688,8.4,12.2,22.4,5.2,777,37,145
"Pitt County, North Carolina",171196,33.2,21.2,14.1,45.3,20.0,14.8,7.5,54915,10.1,10.7,48.8,9.2,911,37,147
"Polk County, North Carolina",19538,54.2,15.7,31.7,16.7,21.4,18.1,4.3,60465,9.9,21.5,23.5,3.7,984,37,149
"Randolph County, North Carolina",144403,41.4,22.2,18.0,43.1,11.9,17.2,3.9,56423,12.9,10.2,26.2,3.7,813,37,151
"Richmond County, North Carolina",43149,40.1,23.3,17.9,60.7,10.7,16.2,9.6,42354,10.3,16.0,34.8,10.7,720,37,153
"Robeson County, North Carolina",117573,36.8,24.9,15.7,55.7,9.5,17.0,6.4,39393,14.5,12.9,34.4,8.0,741,37,155
"Rockingham County, North Carolina",91209,45.1,20.1,20.8,26.6,10.6,17.6,6.5,50737,10.0,11.2,28.7,7.0,743,37,157
"Rowan County, North Carolina",147067,40.7,22.0,17.7,50.4,14.6,15.5,6.3,59717,10.8,10.8,29.3,5.9,925,37,159
"Rutherford County, North Carolina",64680,44.9,20.2,21.7,56.5,13.0,21.2,6.0,50512,11.9,19.5,26.7,6.0,729,37,161
"Sampson County, North Carolina",59317,39.6,24.2,18.1,61.8,10.4,14.1,5.7,49963,15.8,16.7,26.8,5.1,752,37,163
"Scotland County, North Carolina",34222,39.0,22.7,18.0,45.4,9.1,16.7,10.8,41948,12.3,15.2,40.2,11.5,736,37,165
"Stanly County, North Carolina",62723,41.4,21.5,18.9,40.7,13.2,17.1,4.3,60634,11.2,14.5,25.1,5.4,816,37,167
"Stokes County, North Carolina",44696,47.4,18.5,21.9,15.3,10.5,19.8,5.3,57539,8.6,10.8,22.2,2.8,784,37,169
"Surry County, North Carolina",71429,43.8,21.0,20.6,37.8,12.2,19.0,4.9,52743,12.6,13.6,27.2,5.1,706,37,171
"Swain County, North Carolina",14130,41.6,22.6,19.2,54.5,12.5,17.9,7.5,52818,24.0,32.7,27.3,8.9,690,37,173
"Transylvania County, North Carolina",33131,52.4,15.5,31.0,54.8,23.8,14.9,4.0,62056,13.6,24.7,23.9,4.6,861,37,175
"Tyrrell County, North Carolina",3389,45.3,17.1,22.4,100.0,7.8,19.9,3.9,55341,12.3,26.8,25.2,7.6,722,37,177
"Union County, North Carolina",240109,38.9,26.0,13.1,17.1,25.5,9.2,4.3,95533,8.8,5.3,17.5,2.7,1274,37,179
"Vance County, North Carolina",42492,40.7,23.7,18.7,84.0,12.2,18.3,7.0,48340,12.5,16.9,41.0,7.8,830,37,181
"Wake County, North Carolina",1132103,37.0,23.4,12.2,21.3,33.8,8.8,4.2,96734,8.3,7.8,35.7,4.0,1412,37,183
"Warren County, North Carolina",18803,48.6,18.0,26.3,77.4,11.4,22.0,9.9,42282,11.2,32.8,29.6,10.4,726,37,185
"Washington County, North Carolina",11051,48.0,20.2,26.0,100.0,10.7,23.6,12.7,38927,8.7,19.2,31.4,18.2,755,37,187
"Watauga County, North Carolina",54540,32.1,12.1,16.2,18.6,24.1,11.1,9.3,50034,9.4,35.4,39.0,3.4,1067,37,189
"Wayne County, North Carolina",117480,37.5,23.4,16.6,41.4,13.9,15.6,5.0,54323,12.2,11.2,38.7,7.0,899,37,191
"Wilkes County, North Carolina",66125,45.3,20.0,22.3,45.0,11.6,19.0,6.0,49119,11.7,14.2,27.0,5.7,712,37,193
"Wilson County, North Carolina",78667,40.9,22.8,18.9,49.9,13.0,14.8,6.6,49827,12.0,11.4,40.5,9.2,853,37,195
"Yadkin County, North Carolina",37280,44.5,20.6,20.6,39.6,10.7,15.6,5.2,57486,12.2,13.0,23.6,4.6,711,37,197
"Yancey County, North Carolina",18538,48.0,18.5,26.2,29.3,14.4,18.4,7.6,53103,10.1,30.2,21.6,4.2,757,37,199
"Adams County, North Dakota",2190,46.9,22.2,27.7,0.0,13.3,13.1,0.7,57950,10.2,25.4,26.4,7.1,589,38,001
"Barnes County, North Dakota",10826,43.6,20.0,22.6,0.0,21.6,13.1,3.3,64447,6.2,14.1,25.5,5.6,773,38,003
"Benson County, North Dakota",5960,31.0,35.1,14.0,51.2,14.7,13.2,2.2,63220,8.0,27.4,28.3,9.2,563,38,005
"Billings County, North Dakota",839,40.6,20.1,25.3,30.0,19.9,7.7,2.1,74000,5.5,35.1,25.9,3.8,650,38,007
"Bottineau County, North Dakota",6411,44.3,21.7,24.6,31.5,19.7,13.6,3.5,80113,8.0,34.3,19.2,2.2,670,38,009
"Bowman County, North Dakota",2975,41.6,25.1,23.0,13.6,15.0,10.8,4.1,79709,10.3,27.8,21.0,1.6,862,38,011
"Burke County, North Dakota",2184,44.8,24.7,21.4,0.0,20.5,12.2,2.0,94583,3.8,32.8,17.7,1.3,669,38,013
"Burleigh County, North Dakota",98443,37.7,23.3,17.0,19.6,26.4,11.3,2.7,82141,4.7,7.2,28.6,5.7,975,38,015
"Cass County, North Dakota",186328,32.7,22.2,12.5,21.3,29.1,10.0,2.8,73249,5.9,7.5,47.7,6.0,909,38,017
"Cavalier County, North Dakota",3691,47.8,22.5,28.2,0.0,20.4,10.7,0.9,61174,5.9,28.1,17.2,4.6,731,38,019
"Dickey County, North Dakota",5003,38.1,25.0,19.1,30.4,20.9,11.9,3.1,60250,8.6,20.1,22.2,1.6,759,38,021
"Divide County, North Dakota",2195,44.0,24.1,24.1,0.0,15.0,11.0,3.2,95938,9.5,34.2,28.6,4.6,1032,38,023
"Dunn County, North Dakota",4049,42.7,23.8,17.7,19.0,14.7,14.9,2.4,91758,18.4,31.5,28.8,1.9,906,38,025
"Eddy County, North Dakota",2345,46.4,21.6,27.7,0.0,19.9,20.0,2.3,50375,6.0,15.5,30.5,7.4,555,38,027
"Emmons County, North Dakota",3297,50.5,19.5,28.1,0.0,13.1,12.5,1.4,63750,6.9,27.2,19.4,3.3,585,38,029
"Foster County, North Dakota",3388,45.1,21.9,23.7,0.0,18.8,11.1,0.2,78426,3.8,15.8,21.7,4.6,710,38,031
"Golden Valley County, North Dakota",1734,45.7,21.1,23.7,0.0,16.2,20.0,5.4,84750,2.0,27.6,25.3,5.6,838,38,033
"Grand Forks County, North Dakota",72927,30.3,20.9,13.5,21.7,24.2,9.4,3.4,64698,5.7,8.4,48.9,5.7,941,38,035
"Grant County, North Dakota",2320,49.4,22.3,29.3,0.0,17.8,13.2,2.9,57069,4.7,36.7,13.8,3.8,629,38,037
"Griggs County, North Dakota",2309,51.9,20.9,29.9,0.0,18.9,11.8,1.2,66688,3.7,32.7,18.1,3.9,499,38,039
"Hettinger County, North Dakota",2477,41.3,19.0,25.9,41.4,12.8,18.6,4.2,66797,8.9,25.9,22.4,2.1,852,38,041
"Kidder County, North Dakota",2391,48.4,23.3,26.6,24.2,15.4,10.6,1.0,57240,4.7,32.6,25.7,0.3,740,38,043
"LaMoure County, North Dakota",4135,45.8,21.9,26.8,34.0,20.4,11.6,1.7,70227,6.2,18.2,15.6,3.4,571,38,045
"Logan County, North Dakota",1849,49.2,22.1,27.0,17.6,19.6,11.9,1.3,59750,3.0,28.6,16.9,1.3,771,38,047
"McHenry County, North Dakota",5326,43.0,23.8,21.6,39.5,15.7,13.4,4.4,78071,6.2,18.5,18.1,5.0,753,38,049
"McIntosh County, North Dakota",2529,53.6,18.2,30.8,0.0,12.4,12.4,0.5,64375,7.0,29.9,22.0,7.1,605,38,051
"McKenzie County, North Dakota",14081,30.5,32.0,8.9,52.6,19.3,9.8,1.7,83813,15.7,30.0,43.5,2.5,1192,38,053
"McLean County, North Dakota",9781,46.3,21.8,24.6,15.4,18.2,11.3,1.4,80556,4.8,27.5,17.1,3.3,766,38,055
"Mercer County, North Dakota",8366,44.0,22.7,21.2,15.2,15.1,13.5,2.7,82155,11.7,24.2,16.2,2.3,1039,38,057
"Morton County, North Dakota",33192,36.7,23.4,16.5,20.3,21.0,8.1,2.0,79555,5.5,13.2,26.6,2.5,973,38,059
"Mountrail County, North Dakota",9648,34.7,28.4,12.4,26.3,15.1,13.9,3.5,81886,17.2,29.9,39.4,4.8,929,38,061
"Nelson County, North Dakota",3025,50.0,20.6,27.4,0.0,21.3,18.4,1.2,62219,5.9,28.1,24.9,2.4,539,38,063
"Oliver County, North Dakota",1832,48.1,25.7,25.0,0.0,16.0,10.3,2.9,69722,4.4,23.1,12.6,4.2,594,38,065
"Pembina County, North Dakota",6853,45.6,21.1,24.8,19.4,16.9,12.6,4.3,64243,6.9,16.0,25.6,2.3,658,38,067
"Pierce County, North Dakota",3999,44.6,22.0,24.6,56.0,20.1,9.8,1.0,59583,7.3,16.9,19.8,3.2,757,38,069
"Ramsey County, North Dakota",11613,40.0,24.1,21.5,2.8,18.9,17.4,0.8,61490,10.3,13.8,37.9,8.0,663,38,071
"Ransom County, North Dakota",5663,42.7,22.0,21.2,32.4,15.8,12.6,2.9,71462,5.0,8.0,25.6,4.1,840,38,073
