NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Southeast Fairbanks Census Area, Alaska",6888,36.9,26.8,14.2,7.5,13.7,19.1,6.6,75378,16.4,38.1,25.0,5.7,1190,02,240
"Wrangell City and Borough, Alaska",2134,48.9,22.1,27.0,52.9,13.9,23.1,3.4,61000,16.5,31.3,34.8,6.3,966,02,275
"Yakutat City and Borough, Alaska",564,41.3,18.6,24.6,0.0,9.6,9.6,1.8,76875,23.2,45.0,44.2,12.6,1304,02,282
"Yukon-Koyukuk Census Area, Alaska",5355,35.8,27.2,16.2,82.1,9.6,17.8,11.1,47826,21.0,48.3,27.6,46.9,906,02,290
"Apache County, Arizona",66054,35.6,26.5,15.8,47.3,8.2,14.0,9.5,37483,23.6,31.8,20.0,12.7,635,04,001
"Cochise County, Arizona",125504,41.4,21.1,23.2,14.8,16.6,17.9,6.8,58421,7.7,15.9,29.8,6.0,893,04,003
"Coconino County, Arizona",144705,31.7,19.9,13.4,48.1,23.3,12.7,7.0,67266,11.2,24.9,40.9,5.4,1353,04,005
"Gila County, Arizona",53419,50.6,19.4,29.6,54.5,11.8,21.2,6.9,55242,9.8,30.2,24.4,6.9,966,04,007
"Graham County, Arizona",38453,34.1,26.3,14.0,29.4,9.0,12.9,6.0,64089,8.5,12.6,26.6,4.9,856,04,009
"Greenlee County, Arizona",9483,35.5,27.3,13.7,40.4,13.2,12.5,3.0,73756,2.3,25.1,43.8,2.7,532,04,011
"La Paz County, Arizona",16681,57.3,16.2,40.5,54.3,8.4,23.2,10.7,46634,15.2,34.9,31.6,4.8,691,04,012
"Maricopa County, Arizona",4430871,37.1,23.1,15.6,33.9,21.9,11.7,4.8,80675,11.0,8.6,35.7,5.2,1437,04,013
"Mohave County, Arizona",214229,52.9,16.5,31.3,44.6,8.9,22.3,7.5,53592,9.1,19.4,27.4,4.4,976,04,015
"Navajo County, Arizona",107110,38.7,25.9,19.0,50.6,10.1,17.9,9.7,50335,14.5,33.6,27.7,8.5,800,04,017
"Pima County, Arizona",1042393,39.0,20.2,20.4,44.0,20.0,15.0,5.9,64323,9.1,10.2,35.9,7.2,1071,04,019
"Pinal County, Arizona",433338,39.8,22.0,20.8,32.3,14.4,16.1,6.4,73313,9.6,13.7,20.4,3.5,1317,04,021
"Santa Cruz County, Arizona",47838,37.3,26.3,18.5,54.3,14.0,12.9,9.8,51885,14.0,11.5,32.8,6.0,741,04,023
"Yavapai County, Arizona",237830,54.5,15.8,32.7,44.0,17.0,18.1,4.9,62430,10.9,12.5,26.9,3.9,1128,04,025
